symbol,datetime,security_id,bid_price,bid_order_qty,bid_executed_qty,ask_order_qty,ask_executed_qty
CS2503,2025-02-12 21:00:13.864000-11:00,205000008290,2562,654,418,484,588
CS2503,2025-02-12 21:00:14.083000-11:00,205000008290,2562,655,420,484,591
CS2503,2025-02-12 21:00:14.365000-11:00,205000008290,2562,661,420,484,597
CS2503,2025-02-12 21:00:14.583000-11:00,205000008290,2562,669,420,484,605
CS2503,2025-02-12 21:00:14.875000-11:00,205000008290,2562,679,420,490,609
CS2503,2025-02-12 21:00:15.083000-11:00,205000008290,2562,680,454,497,637
CS2503,2025-02-12 21:00:15.359000-11:00,205000008290,2562,685,462,499,648
CS2503,2025-02-12 21:00:15.622000-11:00,205000008290,2562,687,464,499,652
CS2503,2025-02-12 21:00:15.862000-11:00,205000008290,2562,690,466,499,657
CS2503,2025-02-12 21:00:16.085000-11:00,205000008290,2562,696,466,502,660
CS2503,2025-02-12 21:00:16.378000-11:00,205000008290,2562,698,466,502,662
CS2503,2025-02-12 21:00:16.587000-11:00,205000008290,2562,708,468,509,667
CS2503,2025-02-12 21:00:16.859000-11:00,205000008290,2562,710,468,510,668
CS2503,2025-02-12 21:00:17.081000-11:00,205000008290,2562,743,480,540,683
CS2503,2025-02-12 21:00:17.363000-11:00,205000008290,2562,749,482,545,686
CS2503,2025-02-12 21:00:17.626000-11:00,205000008290,2562,753,487,546,694
CS2503,2025-02-12 21:00:17.859000-11:00,205000008290,2562,761,487,551,697
CS2503,2025-02-12 21:00:18.087000-11:00,205000008290,2562,778,489,554,713
CS2503,2025-02-12 21:00:18.370000-11:00,205000008290,2562,796,489,560,725
CS2503,2025-02-12 21:00:18.586000-11:00,205000008290,2562,806,491,561,736
CS2503,2025-02-12 21:00:18.864000-11:00,205000008290,2562,811,491,566,736
CS2503,2025-02-12 21:00:19.084000-11:00,205000008290,2562,828,491,568,751
CS2503,2025-02-12 21:00:19.372000-11:00,205000008290,2562,831,496,571,756
CS2503,2025-02-12 21:00:19.584000-11:00,205000008290,2562,833,496,572,757
